alpha	x	y	clickSelects	group	ymin	ymax	xmin	xmax
0.55	0.10474308300396	0.954545454545454	2014_05_27	1	0.0454545454545455	0.954545454545454	0.0454545454544583	0.164031620553462
0.55	0.763504611330693	0.954545454545454	2014_06_01	3	0.0454545454545455	0.954545454545454	0.704216073781191	0.822793148880195
0.55	0.236495388669307	0.954545454545454	2014_05_28	2	0.0454545454545455	0.954545454545454	0.177206851119805	0.295783926218809
0.55	0.236495388669307	0.954545454545454	2014_05_28	2	0.0454545454545455	0.954545454545454	0.177206851119805	0.295783926218809
0.55	0.89525691699604	0.954545454545454	2014_06_02	4	0.0454545454545455	0.954545454545454	0.835968379446538	0.954545454545542
0.55	0.236495388669307	0.954545454545454	2014_05_28	2	0.0454545454545455	0.954545454545454	0.177206851119805	0.295783926218809
0.55	0.89525691699604	0.954545454545454	2014_06_02	4	0.0454545454545455	0.954545454545454	0.835968379446538	0.954545454545542
0.55	0.10474308300396	0.954545454545454	2014_05_27	1	0.0454545454545455	0.954545454545454	0.0454545454544583	0.164031620553462
0.55	0.763504611330693	0.954545454545454	2014_06_01	3	0.0454545454545455	0.954545454545454	0.704216073781191	0.822793148880195
0.55	0.236495388669307	0.954545454545454	2014_05_28	2	0.0454545454545455	0.954545454545454	0.177206851119805	0.295783926218809
0.55	0.89525691699604	0.954545454545454	2014_06_02	4	0.0454545454545455	0.954545454545454	0.835968379446538	0.954545454545542
