colour	y	x	PANEL	fill
#F8766D	0.302987012987013	0.743181818181818	2	#F8766D
#F8766D	0.316623376623377	0.48030303030303	2	#F8766D
#00BFC4	0.32974025974026	0.770909090909091	2	#00BFC4
#C77CFF	0.269350649350649	0.338939393939394	2	#C77CFF
#F8766D	0.312727272727273	0.491666666666667	2	#F8766D
#F8766D	0.181168831168831	0.652424242424242	2	#F8766D
#C77CFF	0.418441558441559	0.519090909090909	2	#C77CFF
#C77CFF	0.0937662337662338	0.304242424242424	2	#C77CFF
#F8766D	0.340649350649351	0.576515151515152	2	#F8766D
#F8766D	0.307142857142857	0.310151515151515	2	#F8766D
#F8766D	0.295584415584416	0.511969696969697	2	#F8766D
#C77CFF	0.352467532467532	0.490606060606061	2	#C77CFF
#C77CFF	0.10012987012987	0.252272727272727	2	#C77CFF
#F8766D	0.264675324675325	0.711818181818182	2	#F8766D
#F8766D	0.25012987012987	0.609242424242424	2	#F8766D
#F8766D	0.416493506493507	0.409242424242424	2	#F8766D
#F8766D	0.326623376623377	0.519242424242424	2	#F8766D
#C77CFF	0.402207792207792	0.509545454545455	2	#C77CFF
#F8766D	0.266103896103896	0.593030303030303	2	#F8766D
#F8766D	0.404805194805195	0.60969696969697	2	#F8766D
#C77CFF	0.314415584415584	0.427272727272727	2	#C77CFF
#F8766D	0.193636363636364	0.517727272727273	2	#F8766D
#F8766D	0.288311688311688	0.440909090909091	2	#F8766D
#F8766D	0.195974025974026	0.481212121212121	2	#F8766D
#F8766D	0.226753246753247	0.665757575757576	2	#F8766D
#C77CFF	0.364805194805195	0.631060606060606	2	#C77CFF
#F8766D	0.318051948051948	0.387424242424242	2	#F8766D
#F8766D	0.231168831168831	0.533484848484848	2	#F8766D
#F8766D	0.284415584415584	0.425	2	#F8766D
#00BFC4	0.662857142857143	0.727424242424243	2	#00BFC4
#C77CFF	0.313246753246753	0.485757575757576	2	#C77CFF
#C77CFF	0.0784415584415585	0.450606060606061	2	#C77CFF
#F8766D	0.433896103896104	0.629090909090909	2	#F8766D
#F8766D	0.214415584415584	0.567878787878788	2	#F8766D
#F8766D	0.451948051948052	0.719090909090909	2	#F8766D
#F8766D	0.441948051948052	0.486363636363636	2	#F8766D
#F8766D	0.315064935064935	0.501818181818182	2	#F8766D
#C77CFF	0.39	0.714393939393939	2	#C77CFF
#C77CFF	0.202857142857143	0.326666666666667	2	#C77CFF
#00BFC4	0.42038961038961	0.351969696969697	2	#00BFC4
#00BFC4	0.347142857142857	0.630606060606061	2	#00BFC4
#C77CFF	0.355974025974026	0.591666666666667	2	#C77CFF
#00BFC4	0.148181818181818	0.453333333333333	2	#00BFC4
#F8766D	0.416103896103896	0.766212121212121	2	#F8766D
#F8766D	0.314545454545455	0.730757575757576	2	#F8766D
#C77CFF	0.255194805194805	0.345151515151515	2	#C77CFF
#C77CFF	0.226753246753247	0.508939393939394	3	#C77CFF
#00BFC4	0.400779220779221	0.336363636363636	3	#00BFC4
#00BFC4	0.448961038961039	0.578939393939394	3	#00BFC4
#00BFC4	0.224025974025974	0.31969696969697	3	#00BFC4
#C77CFF	0.318961038961039	0.396969696969697	3	#C77CFF
#C77CFF	0.303896103896104	0.372121212121212	3	#C77CFF
#00BFC4	0.42025974025974	0.298787878787879	3	#00BFC4
#7CAE00	0.432987012987013	0.543484848484848	3	#7CAE00
#C77CFF	0.253376623376623	0.408333333333333	3	#C77CFF
#00BFC4	0.52038961038961	0.465757575757576	3	#00BFC4
