colour	y	x	showSelected	PANEL	fill
#C77CFF	0.352467532467532	0.490606060606061	2014_09_24	2	#C77CFF
#C77CFF	0.10012987012987	0.252272727272727	2014_09_24	2	#C77CFF
#F8766D	0.264675324675325	0.711818181818182	2014_09_24	2	#F8766D
#C77CFF	0.269350649350649	0.338939393939394	2014_09_24	2	#C77CFF
#F8766D	0.404805194805195	0.60969696969697	2014_09_24	2	#F8766D
#C77CFF	0.314415584415584	0.427272727272727	2014_09_24	2	#C77CFF
#C77CFF	0.39	0.714393939393939	2014_09_24	2	#C77CFF
#C77CFF	0.202857142857143	0.326666666666667	2014_09_24	2	#C77CFF
#F8766D	0.451948051948052	0.719090909090909	2014_09_24	2	#F8766D
#F8766D	0.441948051948052	0.486363636363636	2014_09_24	2	#F8766D
#F8766D	0.315064935064935	0.501818181818182	2014_09_24	2	#F8766D
#00BFC4	0.42038961038961	0.351969696969697	2014_09_24	2	#00BFC4
#00BFC4	0.347142857142857	0.630606060606061	2014_09_24	2	#00BFC4
#C77CFF	0.355974025974026	0.591666666666667	2014_09_24	2	#C77CFF
#F8766D	0.433896103896104	0.629090909090909	2014_09_24	2	#F8766D
#F8766D	0.214415584415584	0.567878787878788	2014_09_24	2	#F8766D
#F8766D	0.416103896103896	0.766212121212121	2014_09_24	2	#F8766D
#F8766D	0.314545454545455	0.730757575757576	2014_09_24	2	#F8766D
#C77CFF	0.255194805194805	0.345151515151515	2014_09_24	2	#C77CFF
#F8766D	0.193636363636364	0.517727272727273	2014_09_24	2	#F8766D
#F8766D	0.288311688311688	0.440909090909091	2014_09_24	2	#F8766D
#F8766D	0.195974025974026	0.481212121212121	2014_09_24	2	#F8766D
#F8766D	0.326623376623377	0.519242424242424	2014_09_24	2	#F8766D
#C77CFF	0.402207792207792	0.509545454545455	2014_09_24	2	#C77CFF
#F8766D	0.25012987012987	0.609242424242424	2014_09_24	2	#F8766D
#F8766D	0.307142857142857	0.310151515151515	2014_09_24	2	#F8766D
#F8766D	0.295584415584416	0.511969696969697	2014_09_24	2	#F8766D
#00BFC4	0.148181818181818	0.453333333333333	2014_09_24	2	#00BFC4
#F8766D	0.266103896103896	0.593030303030303	2014_09_24	2	#F8766D
#F8766D	0.416493506493507	0.409242424242424	2014_09_24	2	#F8766D
#C77CFF	0.0784415584415585	0.450606060606061	2014_09_24	2	#C77CFF
#F8766D	0.226753246753247	0.665757575757576	2014_09_24	2	#F8766D
#C77CFF	0.364805194805195	0.631060606060606	2014_09_24	2	#C77CFF
#F8766D	0.318051948051948	0.387424242424242	2014_09_24	2	#F8766D
#F8766D	0.231168831168831	0.533484848484848	2014_09_24	2	#F8766D
#F8766D	0.284415584415584	0.425	2014_09_24	2	#F8766D
#00BFC4	0.662857142857143	0.727424242424243	2014_09_24	2	#00BFC4
#F8766D	0.302987012987013	0.743181818181818	2014_09_24	2	#F8766D
#F8766D	0.316623376623377	0.48030303030303	2014_09_24	2	#F8766D
#00BFC4	0.32974025974026	0.770909090909091	2014_09_24	2	#00BFC4
#C77CFF	0.313246753246753	0.485757575757576	2014_09_24	2	#C77CFF
#F8766D	0.312727272727273	0.491666666666667	2014_09_24	2	#F8766D
#F8766D	0.181168831168831	0.652424242424242	2014_09_24	2	#F8766D
#C77CFF	0.418441558441559	0.519090909090909	2014_09_24	2	#C77CFF
#C77CFF	0.0937662337662338	0.304242424242424	2014_09_24	2	#C77CFF
#F8766D	0.340649350649351	0.576515151515152	2014_09_24	2	#F8766D
#00BFC4	0.543506493506493	0.408181818181818	2014_09_24	3	#00BFC4
#C77CFF	0.316623376623377	0.490151515151515	2014_09_24	3	#C77CFF
#C77CFF	0.494415584415584	0.398333333333333	2014_09_24	3	#C77CFF
#00BFC4	0.565974025974026	0.402424242424242	2014_09_24	3	#00BFC4
#C77CFF	0.074025974025974	0.462121212121212	2014_09_24	3	#C77CFF
#00BFC4	0.340519480519481	0.489393939393939	2014_09_24	3	#00BFC4
#00BFC4	0.55961038961039	0.406969696969697	2014_09_24	3	#00BFC4
#C77CFF	0.105844155844156	0.514393939393939	2014_09_24	3	#C77CFF
#00BFC4	0.445454545454545	0.424545454545455	2014_09_24	3	#00BFC4
#C77CFF	0.248051948051948	0.447727272727273	2014_09_24	3	#C77CFF
#7CAE00	0.451168831168831	0.509090909090909	2014_09_24	3	#7CAE00
#C77CFF	0.364675324675325	0.365909090909091	2014_09_24	3	#C77CFF
#00BFC4	0.285324675324675	0.470454545454545	2014_09_24	3	#00BFC4
#00BFC4	0.332467532467533	0.451363636363636	2014_09_24	3	#00BFC4
#C77CFF	0.226753246753247	0.508939393939394	2014_09_24	3	#C77CFF
#00BFC4	0.400779220779221	0.336363636363636	2014_09_24	3	#00BFC4
#00BFC4	0.448961038961039	0.578939393939394	2014_09_24	3	#00BFC4
#00BFC4	0.435064935064935	0.490606060606061	2014_09_24	3	#00BFC4
#7CAE00	0.576493506493507	0.507878787878788	2014_09_24	3	#7CAE00
#7CAE00	0.318831168831169	0.421969696969697	2014_09_24	3	#7CAE00
#C77CFF	0.134025974025974	0.37530303030303	2014_09_24	3	#C77CFF
#00BFC4	0.317272727272727	0.541212121212121	2014_09_24	3	#00BFC4
#C77CFF	0.216493506493507	0.397424242424242	2014_09_24	3	#C77CFF
#C77CFF	0.371298701298701	0.500757575757576	2014_09_24	3	#C77CFF
#00BFC4	0.588051948051948	0.531969696969697	2014_09_24	3	#00BFC4
