colour	y	x	showSelected	PANEL	fill
#C77CFF	0.342597402597403	0.414393939393939	2014_06_01	1	#C77CFF
#C77CFF	0.321038961038961	0.446363636363636	2014_06_01	1	#C77CFF
#C77CFF	0.417012987012987	0.410909090909091	2014_06_01	1	#C77CFF
#C77CFF	0.315584415584416	0.463181818181818	2014_06_01	1	#C77CFF
#C77CFF	0.217142857142857	0.397272727272727	2014_06_01	1	#C77CFF
#C77CFF	0.292467532467532	0.336212121212121	2014_06_01	1	#C77CFF
#C77CFF	0.153506493506494	0.342575757575758	2014_06_01	1	#C77CFF
#C77CFF	0.318961038961039	0.297878787878788	2014_06_01	1	#C77CFF
#C77CFF	0.171558441558442	0.189848484848485	2014_05_27	1	#C77CFF
#F8766D	0.318311688311688	0.699393939393939	2014_05_27	1	#F8766D
#C77CFF	0.349090909090909	0.458636363636364	2014_05_27	1	#C77CFF
#C77CFF	0.264935064935065	0.363333333333333	2014_05_27	1	#C77CFF
#C77CFF	0.271688311688312	0.357727272727273	2014_06_01	2	#C77CFF
#F8766D	0.362337662337662	0.643636363636364	2014_06_01	2	#F8766D
#C77CFF	0.218441558441558	0.496666666666667	2014_06_01	2	#C77CFF
#F8766D	0.283116883116883	0.604848484848485	2014_06_01	2	#F8766D
#F8766D	0.281298701298701	0.657272727272727	2014_06_01	2	#F8766D
#F8766D	0.322077922077922	0.566363636363636	2014_06_01	2	#F8766D
#F8766D	0.278701298701299	0.469393939393939	2014_05_27	2	#F8766D
#F8766D	0.372077922077922	0.578787878787879	2014_05_27	2	#F8766D
#F8766D	0.394805194805195	0.616969696969697	2014_05_27	2	#F8766D
#C77CFF	0.211038961038961	0.624242424242424	2014_05_27	2	#C77CFF
#F8766D	0.28025974025974	0.79439393939394	2014_05_27	2	#F8766D
#C77CFF	0.246493506493507	0.235909090909091	2014_05_27	2	#C77CFF
#F8766D	0.417142857142857	0.431212121212121	2014_06_01	2	#F8766D
#F8766D	0.391688311688312	0.616818181818182	2014_05_27	2	#F8766D
#F8766D	0.183376623376623	0.293939393939394	2014_06_01	2	#F8766D
#F8766D	0.143506493506494	0.541060606060606	2014_06_01	2	#F8766D
#F8766D	0.393896103896104	0.668484848484848	2014_05_27	2	#F8766D
#F8766D	0.298181818181818	0.689848484848485	2014_06_01	2	#F8766D
#F8766D	0.294675324675325	0.623787878787879	2014_06_01	2	#F8766D
#F8766D	0.34	0.72530303030303	2014_06_01	2	#F8766D
#F8766D	0.198831168831169	0.579393939393939	2014_06_01	2	#F8766D
#F8766D	0.466493506493507	0.531818181818182	2014_06_01	2	#F8766D
#C77CFF	0.236883116883117	0.467121212121212	2014_06_01	2	#C77CFF
#F8766D	0.396233766233766	0.394090909090909	2014_06_01	2	#F8766D
#C77CFF	0.369350649350649	0.336363636363636	2014_06_01	2	#C77CFF
#F8766D	0.305714285714286	0.339848484848485	2014_06_01	2	#F8766D
#F8766D	0.204155844155844	0.259848484848485	2014_06_01	2	#F8766D
#F8766D	0.358441558441559	0.723030303030303	2014_06_01	2	#F8766D
#F8766D	0.328051948051948	0.566515151515152	2014_06_01	2	#F8766D
#F8766D	0.417922077922078	0.857575757575758	2014_06_01	2	#F8766D
#F8766D	0.187922077922078	0.675909090909091	2014_06_01	2	#F8766D
#F8766D	0.408571428571429	0.679242424242424	2014_06_01	2	#F8766D
#F8766D	0.427402597402597	0.432121212121212	2014_06_01	2	#F8766D
#C77CFF	0.165844155844156	0.420757575757576	2014_06_01	2	#C77CFF
#F8766D	0.320909090909091	0.722121212121212	2014_06_01	2	#F8766D
#F8766D	0.260649350649351	0.555454545454545	2014_06_01	2	#F8766D
#C77CFF	0.375324675324675	0.536212121212121	2014_06_01	2	#C77CFF
#F8766D	0.372207792207792	0.462272727272727	2014_06_01	2	#F8766D
#F8766D	0.382727272727273	0.618181818181818	2014_06_01	2	#F8766D
#F8766D	0.402337662337662	0.568030303030303	2014_05_27	2	#F8766D
#C77CFF	0.284805194805195	0.387424242424242	2014_05_27	2	#C77CFF
#F8766D	0.187402597402597	0.609090909090909	2014_05_27	2	#F8766D
#F8766D	0.382337662337662	0.807424242424242	2014_06_01	2	#F8766D
#C77CFF	0.390519480519481	0.478030303030303	2014_06_01	2	#C77CFF
#F8766D	0.253376623376623	0.673636363636364	2014_06_01	2	#F8766D
#F8766D	0.324545454545455	0.531212121212121	2014_06_01	2	#F8766D
#F8766D	0.214675324675325	0.317272727272727	2014_06_01	2	#F8766D
#F8766D	0.23012987012987	0.572121212121212	2014_06_01	2	#F8766D
#F8766D	0.470909090909091	0.585757575757576	2014_06_01	2	#F8766D
#C77CFF	0.13961038961039	0.136212121212121	2014_06_01	2	#C77CFF
#F8766D	0.444935064935065	0.745454545454545	2014_06_01	2	#F8766D
#F8766D	0.416493506493507	0.523181818181818	2014_06_01	2	#F8766D
#C77CFF	0.383766233766234	0.679848484848485	2014_06_01	2	#C77CFF
#F8766D	0.313766233766234	0.531666666666667	2014_06_01	2	#F8766D
#C77CFF	0.283506493506493	0.556212121212121	2014_05_27	2	#C77CFF
#C77CFF	0.367402597402597	0.448636363636364	2014_06_01	2	#C77CFF
#C77CFF	0.184545454545455	0.324090909090909	2014_06_01	2	#C77CFF
#F8766D	0.501558441558442	0.384393939393939	2014_06_01	2	#F8766D
#C77CFF	0.316233766233766	0.564242424242424	2014_06_01	2	#C77CFF
#F8766D	0.251168831168831	0.581060606060606	2014_06_01	2	#F8766D
#F8766D	0.348571428571429	0.532121212121212	2014_06_01	2	#F8766D
#00BFC4	0.250649350649351	0.467878787878788	2014_05_28	3	#00BFC4
#C77CFF	0.132077922077922	0.432272727272727	2014_05_28	3	#C77CFF
#C77CFF	0.0649350649350649	0.417424242424242	2014_05_28	3	#C77CFF
#7CAE00	0.567272727272727	0.529090909090909	2014_05_28	3	#7CAE00
#C77CFF	0.227532467532468	0.581212121212121	2014_06_02	3	#C77CFF
#C77CFF	0.33025974025974	0.563333333333333	2014_06_02	3	#C77CFF
#7CAE00	NA	0.20969696969697	2014_06_02	3	#7CAE00
#7CAE00	0.311428571428571	0.559242424242424	2014_06_02	3	#7CAE00
#C77CFF	0.235454545454545	0.438030303030303	2014_06_02	3	#C77CFF
#00BFC4	0.297012987012987	0.530606060606061	2014_06_02	3	#00BFC4
#C77CFF	0.294545454545455	0.594242424242424	2014_06_02	3	#C77CFF
#7CAE00	0.206363636363636	0.352575757575758	2014_06_02	3	#7CAE00
#00BFC4	0.42974025974026	0.432121212121212	2014_06_02	3	#00BFC4
#C77CFF	0.0905194805194805	0.426818181818182	2014_06_02	3	#C77CFF
#C77CFF	0.214805194805195	0.446515151515152	2014_06_02	3	#C77CFF
#00BFC4	0.267662337662338	0.473636363636364	2014_06_02	3	#00BFC4
#C77CFF	0.294545454545455	0.376818181818182	2014_06_02	3	#C77CFF
#C77CFF	NA	0.435	2014_06_02	3	#C77CFF
#00BFC4	NA	0.580151515151515	2014_06_02	3	#00BFC4
#C77CFF	0.537402597402597	0.513181818181818	2014_06_02	3	#C77CFF
#00BFC4	0.261688311688312	0.403181818181818	2014_06_02	3	#00BFC4
#00BFC4	0.216233766233766	0.326969696969697	2014_06_02	3	#00BFC4
#C77CFF	0.13025974025974	0.412575757575758	2014_06_02	3	#C77CFF
#C77CFF	0.144545454545455	0.406969696969697	2014_06_02	3	#C77CFF
#C77CFF	0.13948051948052	0.35030303030303	2014_06_02	3	#C77CFF
#00BFC4	0.273506493506494	0.379242424242424	2014_06_02	3	#00BFC4
#00BFC4	0.444025974025974	0.532424242424242	2014_06_02	3	#00BFC4
#00BFC4	0.339350649350649	0.36	2014_05_28	3	#00BFC4
#7CAE00	0.28961038961039	0.385	2014_05_28	3	#7CAE00
#00BFC4	0.223246753246753	0.577424242424242	2014_06_02	3	#00BFC4
#00BFC4	0.344415584415584	0.534090909090909	2014_06_02	3	#00BFC4
#00BFC4	0.288311688311688	0.482272727272727	2014_05_28	3	#00BFC4
#7CAE00	0.622467532467532	0.608181818181818	2014_05_28	3	#7CAE00
#00BFC4	0.31961038961039	0.55	2014_05_28	3	#00BFC4
#C77CFF	NA	0.494242424242424	2014_05_28	3	#C77CFF
#C77CFF	0.242857142857143	0.386212121212121	2014_05_28	3	#C77CFF
#7CAE00	0.336233766233766	0.533181818181818	2014_05_28	3	#7CAE00
#C77CFF	0.17038961038961	0.366818181818182	2014_06_02	4	#C77CFF
#7CAE00	NA	0.581666666666667	2014_06_02	4	#7CAE00
#C77CFF	0.445064935064935	0.408787878787879	2014_06_02	4	#C77CFF
#00BFC4	0.217402597402597	0.497272727272727	2014_06_02	4	#00BFC4
#C77CFF	0.232467532467532	0.731969696969697	2014_06_02	4	#C77CFF
#00BFC4	0.448571428571429	0.427424242424242	2014_06_02	4	#00BFC4
#00BFC4	0.41025974025974	0.351666666666667	2014_06_02	4	#00BFC4
#00BFC4	0.393896103896104	0.364848484848485	2014_06_02	4	#00BFC4
#C77CFF	0.298311688311688	0.493939393939394	2014_06_02	4	#C77CFF
#C77CFF	NA	0.390454545454545	2014_06_02	4	#C77CFF
#C77CFF	0.247402597402597	0.452575757575758	2014_06_02	4	#C77CFF
#00BFC4	0.231038961038961	0.469848484848485	2014_06_02	4	#00BFC4
#00BFC4	0.335584415584416	0.436969696969697	2014_06_02	4	#00BFC4
#00BFC4	0.443376623376623	0.541666666666667	2014_06_02	4	#00BFC4
#7CAE00	0.326883116883117	0.408333333333333	2014_06_02	4	#7CAE00
#C77CFF	0.260649350649351	0.382272727272727	2014_06_02	4	#C77CFF
#C77CFF	0.149090909090909	0.376515151515152	2014_06_02	4	#C77CFF
#7CAE00	0.0527272727272727	0.507272727272727	2014_06_02	4	#7CAE00
#00BFC4	0.264285714285714	0.363787878787879	2014_06_02	4	#00BFC4
#00BFC4	0.387532467532468	0.358636363636364	2014_06_02	4	#00BFC4
